patch,mesh,nearest_patch,nearest_mesh,same_mesh,token_cos,geometry_dist,normal_var,linearity,planarity,surface_var
0,shapenet/02691156/5cd14216765393f18b96ae1a0a8b84ec,26,shapenet/04379243/a96c429fad0af4c6bd1cdc725a461877,0,0.9626427888870239,1.7544341087341309,0.48784494400024414,0.4476735293865204,0.45891937613487244,0.10487455874681473
1,shapenet/02691156/5cd14216765393f18b96ae1a0a8b84ec,17,shapenet/02691156/29b92db18649b64e959a8a7d5a8a5077,0,0.9258859157562256,1.4165502786636353,0.08736605197191238,0.6819247603416443,0.3109193444252014,0.0907830148935318
2,shapenet/02691156/5cd14216765393f18b96ae1a0a8b84ec,5,shapenet/04379243/862cf2d35bd106c55230ba3c88b645e3,0,0.8842868804931641,2.752063751220703,0.17425183951854706,0.3157508671283722,0.3488072454929352,0.04901939630508423
3,shapenet/02691156/5cd14216765393f18b96ae1a0a8b84ec,4,shapenet/04379243/862cf2d35bd106c55230ba3c88b645e3,0,0.6718811988830566,1.2403693199157715,0.42951005697250366,0.31155893206596375,0.07691232860088348,0.13700899481773376
4,shapenet/04379243/862cf2d35bd106c55230ba3c88b645e3,7,shapenet/04379243/862cf2d35bd106c55230ba3c88b645e3,1,0.6990138292312622,1.5977917909622192,0.6083249449729919,0.47942641377449036,0.07103433459997177,0.13616450130939484
5,shapenet/04379243/862cf2d35bd106c55230ba3c88b645e3,2,shapenet/02691156/5cd14216765393f18b96ae1a0a8b84ec,0,0.8842868804931641,2.752063751220703,0.5618235468864441,0.2775493860244751,0.47029951214790344,0.11979744583368301
6,shapenet/04379243/862cf2d35bd106c55230ba3c88b645e3,99,shapenet/02691156/5e9129782c45b26992e39b8eae3e6b15,0,0.8459959030151367,1.3410298824310303,0.624405026435852,0.30422091484069824,0.24997325241565704,0.11867335438728333
7,shapenet/04379243/862cf2d35bd106c55230ba3c88b645e3,51,shapenet/04379243/9fc9605f6ed5762553cc33364504d5,0,0.7949409484863281,1.4508490562438965,0.4260295629501343,0.7521328926086426,0.12525694072246552,0.1305290162563324
8,shapenet/04330267/60727797b710f68659a84e2e2b7fb62,24,shapenet/04379243/a96c429fad0af4c6bd1cdc725a461877,0,0.7886450886726379,2.67246413230896,0.4045807421207428,0.573369026184082,0.16140854358673096,0.04060078039765358
9,shapenet/04330267/60727797b710f68659a84e2e2b7fb62,112,shapenet/04256520/2314a3400230f50d14038d588fd1342f,0,0.9038965106010437,2.377732038497925,0.454235315322876,0.12129217386245728,0.6591647863388062,0.05408735200762749
10,shapenet/04330267/60727797b710f68659a84e2e2b7fb62,47,shapenet/04401088/a3c1c9fc390b1bbbb099170e6f5a4af9,0,0.9382570385932922,3.221409320831299,0.37230366468429565,0.513038158416748,0.17845594882965088,0.03652295097708702
11,shapenet/04330267/60727797b710f68659a84e2e2b7fb62,64,shapenet/04256520/c8962afab63de682a9ed6dce8b2a37bc,0,0.8762725591659546,0.9324899911880493,0.3446877598762512,0.3876510262489319,0.4089828431606293,0.0548568069934845
